127.0.0.1 - - [24/Feb/2021:13:07:58 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [24/Feb/2021:13:07:59 +0530] "GET /FashionProjectFrontend/ HTTP/1.1" 200 1745
0:0:0:0:0:0:0:1 - - [24/Feb/2021:13:07:59 +0530] "GET /FashionProjectFrontend/images/FashionClub.png HTTP/1.1" 200 4913
0:0:0:0:0:0:0:1 - - [24/Feb/2021:13:07:59 +0530] "GET /FashionProjectFrontend/images/21.jpg HTTP/1.1" 200 63912
0:0:0:0:0:0:0:1 - - [24/Feb/2021:13:08:20 +0530] "GET /FashionProjectFrontend/login HTTP/1.1" 200 2344
0:0:0:0:0:0:0:1 - - [24/Feb/2021:13:08:20 +0530] "GET /FashionProjectFrontend/images/FashionClub.png HTTP/1.1" 200 4913
0:0:0:0:0:0:0:1 - - [24/Feb/2021:13:08:20 +0530] "GET /FashionProjectFrontend/images/19.jpg HTTP/1.1" 200 90185
0:0:0:0:0:0:0:1 - - [24/Feb/2021:13:09:23 +0530] "POST /FashionProjectFrontend/perform_login HTTP/1.1" 200 1879
0:0:0:0:0:0:0:1 - - [24/Feb/2021:13:09:23 +0530] "GET /FashionProjectFrontend/images/FashionClub.png HTTP/1.1" 200 4913
0:0:0:0:0:0:0:1 - - [24/Feb/2021:13:09:23 +0530] "GET /FashionProjectFrontend/images/18.jpg HTTP/1.1" 200 368162
0:0:0:0:0:0:0:1 - - [24/Feb/2021:13:09:25 +0530] "GET /FashionProjectFrontend/showCategory HTTP/1.1" 200 4556
0:0:0:0:0:0:0:1 - - [24/Feb/2021:13:09:25 +0530] "GET /FashionProjectFrontend/images/FashionClub.png HTTP/1.1" 200 4913
0:0:0:0:0:0:0:1 - - [24/Feb/2021:13:09:26 +0530] "GET /FashionProjectFrontend/images/43.jpg HTTP/1.1" 200 132533
0:0:0:0:0:0:0:1 - - [24/Feb/2021:13:09:30 +0530] "GET /FashionProjectFrontend/showProduct HTTP/1.1" 200 4295
0:0:0:0:0:0:0:1 - - [24/Feb/2021:13:09:30 +0530] "GET /FashionProjectFrontend/images/FashionClub.png HTTP/1.1" 200 4913
0:0:0:0:0:0:0:1 - - [24/Feb/2021:13:09:30 +0530] "GET /FashionProjectFrontend/images/43.jpg HTTP/1.1" 200 132533
0:0:0:0:0:0:0:1 - - [24/Feb/2021:13:09:34 +0530] "GET /FashionProjectFrontend/showsupplier HTTP/1.1" 200 5138
0:0:0:0:0:0:0:1 - - [24/Feb/2021:13:09:34 +0530] "GET /FashionProjectFrontend/images/FashionClub.png HTTP/1.1" 200 4913
0:0:0:0:0:0:0:1 - - [24/Feb/2021:13:09:34 +0530] "GET /FashionProjectFrontend/images/43.jpg HTTP/1.1" 200 132533
0:0:0:0:0:0:0:1 - - [24/Feb/2021:13:11:48 +0530] "GET /FashionProjectFrontend/showsupplier HTTP/1.1" 200 5138
